fileNameAsDelivered,scientificName
American_Crow_0053_25203.jpg,Corvus brachyrhynchos
American_Crow_0101_25118.jpg,Corvus brachyrhynchos
Fish_Crow_0058_25999.jpg,Corvus ossifragus
Fish_Crow_0024_26064.jpg,Corvus ossifragus
Fish_Crow_0023_26037.jpg,Corvus ossifragus
Common_Raven_0095_101831.jpg,Corvus corax
White_Necked_Raven_0006_797347.jpg,Corvus albicollis
Fish_Crow_0083_25949.jpg,Corvus ossifragus
American_Crow_0111_25127.jpg,Corvus brachyrhynchos
Common_Raven_0091_101524.jpg,Corvus corax
American_Crow_0031_25433.jpg,Corvus brachyrhynchos
White_Necked_Raven_0065_797354.jpg,Corvus albicollis
Fish_Crow_0055_26077.jpg,Corvus ossifragus
Common_Raven_0054_101750.jpg,Corvus corax
Fish_Crow_0002_26072.jpg,Corvus ossifragus
White_Necked_Raven_0016_797385.jpg,Corvus albicollis
White_Necked_Raven_0034_102598.jpg,Corvus albicollis
American_Crow_0043_25666.jpg,Corvus brachyrhynchos
White_Necked_Raven_0056_797373.jpg,Corvus albicollis
Common_Raven_0024_101394.jpg,Corvus corax
Mourning_Warbler_0062_166531.jpg,Geothlypis philadelphia
Kentucky_Warbler_0013_165228.jpg,Geothlypis formosa
Mourning_Warbler_0064_166447.jpg,Geothlypis philadelphia
Mourning_Warbler_0011_795380.jpg,Geothlypis philadelphia
Mourning_Warbler_0073_166524.jpg,Geothlypis philadelphia
Kentucky_Warbler_0023_165247.jpg,Geothlypis formosa
Common_Yellowthroat_0104_190489.jpg,Geothlypis trichas
Kentucky_Warbler_0048_165360.jpg,Geothlypis formosa
Mourning_Warbler_0008_166467.jpg,Geothlypis philadelphia
Common_Yellowthroat_0004_190606.jpg,Geothlypis trichas
Kentucky_Warbler_0080_165351.jpg,Geothlypis formosa
Kentucky_Warbler_0012_795875.jpg,Geothlypis formosa
Mourning_Warbler_0083_795376.jpg,Geothlypis philadelphia
Mourning_Warbler_0039_166546.jpg,Geothlypis philadelphia
Mourning_Warbler_0049_166469.jpg,Geothlypis philadelphia
Kentucky_Warbler_0002_795886.jpg,Geothlypis formosa
Mourning_Warbler_0072_795379.jpg,Geothlypis philadelphia
Common_Yellowthroat_0029_190403.jpg,Geothlypis trichas
Mourning_Warbler_0056_166476.jpg,Geothlypis philadelphia
Mourning_Warbler_0054_795387.jpg,Geothlypis philadelphia
Baltimore_Oriole_0042_87216.jpg,Icterus galbula
Baltimore_Oriole_0038_87083.jpg,Icterus galbula
Hooded_Oriole_0067_90416.jpg,Icterus cucullatus
Hooded_Oriole_0004_91057.jpg,Icterus cucullatus
Hooded_Oriole_0107_89985.jpg,Icterus cucullatus
Orchard_Oriole_0044_91360.jpg,Icterus spurius
Scott_Oriole_0063_795812.jpg,Icterus parisorum
Hooded_Oriole_0125_90382.jpg,Icterus cucullatus
Baltimore_Oriole_0126_89651.jpg,Icterus galbula
Orchard_Oriole_0035_92003.jpg,Icterus spurius
Baltimore_Oriole_0109_87398.jpg,Icterus galbula
Scott_Oriole_0038_795818.jpg,Icterus parisorum
Hooded_Oriole_0038_90575.jpg,Icterus cucullatus
Orchard_Oriole_0075_91847.jpg,Icterus spurius
Hooded_Oriole_0074_91081.jpg,Icterus cucullatus
Scott_Oriole_0010_795852.jpg,Icterus parisorum
Scott_Oriole_0045_92237.jpg,Icterus parisorum
Baltimore_Oriole_0083_89712.jpg,Icterus galbula
Scott_Oriole_0012_795837.jpg,Icterus parisorum
Orchard_Oriole_0084_91658.jpg,Icterus spurius
Heermann_Gull_0100_45440.jpg,Larus heermanni
Heermann_Gull_0071_45735.jpg,Larus heermanni
Heermann_Gull_0059_45642.jpg,Larus heermanni
Glaucous_Winged_Gull_0126_44761.jpg,Larus glaucescens
Glaucous_Winged_Gull_0034_44625.jpg,Larus glaucescens
California_Gull_0114_41267.jpg,Larus californicus
Western_Gull_0062_53538.jpg,Larus occidentalis
Herring_Gull_0140_46455.jpg,Larus argentatus
Slaty_Backed_Gull_0087_786374.jpg,Larus schistisagus
Herring_Gull_0139_47006.jpg,Larus argentatus
Heermann_Gull_0034_45693.jpg,Larus heermanni
Herring_Gull_0114_46956.jpg,Larus argentatus
Ring_Billed_Gull_0071_52845.jpg,Larus delawarensis
Slaty_Backed_Gull_0038_796044.jpg,Larus schistisagus
Heermann_Gull_0074_45351.jpg,Larus heermanni
Glaucous_Winged_Gull_0133_44738.jpg,Larus glaucescens
Western_Gull_0042_53843.jpg,Larus occidentalis
Glaucous_Winged_Gull_0066_44669.jpg,Larus glaucescens
California_Gull_0034_41548.jpg,Larus californicus
Glaucous_Winged_Gull_0124_44663.jpg,Larus glaucescens
Orange_Crowned_Warbler_0111_168040.jpg,Leiothlypis celata
Nashville_Warbler_0041_167534.jpg,Leiothlypis ruficapilla
Orange_Crowned_Warbler_0078_167964.jpg,Leiothlypis celata
Orange_Crowned_Warbler_0038_168384.jpg,Leiothlypis celata
Orange_Crowned_Warbler_0052_168013.jpg,Leiothlypis celata
Nashville_Warbler_0104_167096.jpg,Leiothlypis ruficapilla
Tennessee_Warbler_0034_174854.jpg,Leiothlypis peregrina
Nashville_Warbler_0004_167146.jpg,Leiothlypis ruficapilla
Orange_Crowned_Warbler_0049_167974.jpg,Leiothlypis celata
Tennessee_Warbler_0051_175015.jpg,Leiothlypis peregrina
Nashville_Warbler_0098_167293.jpg,Leiothlypis ruficapilla
Nashville_Warbler_0037_167280.jpg,Leiothlypis ruficapilla
Orange_Crowned_Warbler_0079_168372.jpg,Leiothlypis celata
Orange_Crowned_Warbler_0007_167545.jpg,Leiothlypis celata
Orange_Crowned_Warbler_0037_167687.jpg,Leiothlypis celata
